Capital Requirement,Expected Loss
423704.185800214,13278.53404887008
474589.0771700311,13413.510872330426
416868.4447697416,12461.848562655803
471245.65526528767,14404.880367373908
460154.1462978951,13887.515595370362
475847.20924750576,13403.424279035082
480572.0718999842,14024.272414393428
418009.06107590965,12281.222902517246
454462.99115239445,13317.743929766888
469575.30999426544,13926.256986633356
438091.8830797505,13143.590238084435
452157.9198668073,14731.250842989326
452383.95772303623,13827.515690832483
458724.67946539284,13419.88967029805
436989.37679459027,12778.083926521755
453119.41226854513,13458.230071332844
464558.75600213395,13527.909944505294
477671.1496911238,14912.293838061589
452455.70271459734,13359.5071786423
466940.91575141874,12865.184562641713
445558.5883434768,13373.523563301902
430946.2565519395,13079.406618125131
433710.491726929,12875.359664946493
452141.8421270563,12816.969437281467
460471.9744956289,13718.48142038035
468462.09672022314,13504.991080085503
454608.8078856721,13218.733606345362
428857.03222597705,12544.558629624926
425433.71111469425,12566.593160976225
433068.03124646924,12515.293578736622
433617.49162137863,13029.950111493608
449058.5800029949,12781.80845152617
439637.0821624632,12433.051211659062
411816.14048447774,12040.192506233132
433421.1670696343,12438.006080024788
445038.859018452,13196.79339627277
415811.45356568065,12968.861449694215
428473.22754400235,12675.21806733328
451177.9110085185,13412.144705980125
448150.1845194419,13158.566189629437
440518.7959587042,13461.312374270405
445338.5006236834,13754.66961225147
437889.0777639467,13211.548685723857
473804.95384197606,14832.510837615664
447376.1185993459,13106.586985282906
445049.6023957739,13211.102181996157
448658.91153013695,13935.891018177277
434068.353323939,12998.137703144692
420028.45350973366,12773.632171334202
426043.50339117605,12621.894114715415
454628.9218332472,13020.877891072407
446855.3422366257,12467.15350592206
418257.12508393574,12204.416141916317
434972.6985597148,12246.402834665078
453280.79657620064,13789.42483961153
438375.34137718414,13275.387258154095
430752.85384652385,13421.796566266388
438778.8714559969,12506.634773514694
440370.2343489586,13618.953046931816
474972.352799401,14495.11053603189
442058.05143598374,13670.175562082139
423014.6187233487,12198.08757205506
442959.8700928898,14050.586541966914
465242.0271566638,14100.756466005556
467739.37008936587,14292.645079858321
453736.43005976104,13231.661903948909
479006.12238491094,14048.211259983946
431576.7978781678,12362.386212691275
452847.38823623746,12962.371263909981
423123.7359590101,13626.83221531392
445698.0729953441,13537.377835646803
423698.880772816,12645.67562459192
444410.3212562843,13335.105668718217
438455.644606909,13116.684898620666
426946.2777727535,12855.075452567242
471314.1771984452,14364.619196559303
418241.12104425824,12470.544326388124
444783.98338614707,12611.711359416644
460193.2694050848,14026.175323407659
477679.1865667036,14228.014389256647
452229.75028961035,13611.111274302548
457632.6765640441,14166.663200752871
447464.81294858456,13549.051779821148
432816.670155984,12677.10627973799
462798.62172736856,13734.33602688038
443597.39718834567,13464.999568559868
468423.97442116565,13932.499642578488
478093.8012819593,13701.816875211985
456851.17574071325,13640.540981472197
452478.7576994301,13201.974024709658
459238.9309447643,13587.684170150085
440920.3433493638,13168.279840097333
437336.82355827664,13046.863532248817
469038.85381886485,14371.461574089193
433205.285365004,12971.538391459495
460362.8200451251,13980.42181237298
444696.52011735213,12619.276140347809
439064.8197146888,12106.35507307758
433372.90290115157,12992.267664595092
